References	Qty	Description	Manufacturer	Part Number	Manufacturer	Part Number	Manufacturer	Part Number	Manufacturer	Part Number	Digikey	Mouser	RS	Newark	Farnell
C9, C11	2	22pF capacitor ceramic	Johanson	500R14N220JV4T	Multicomp	MC0603N220J500CT	Vishay Vitramon 	VJ0603A220KXQPW1BC	Kemet 	C0603C220J5GACTU	709-1143-1-ND	VJ0603A220KXQPW1BC	2644501	06R5149	1759057
C1, C2, C4, C5, C6, C7	6	100nF capacitor ceramic	Yageo	CC0603KRX7R9BB104	Kemet	C0603C104K5RACTU	Murata	GRM188R71H104KA93D			490-1519-1-ND	GRM188R71H104KA93D	7235676	38K1670	8820023
C3, C8	2	1uF capacitor ceramic 6.3V	Murata	GRM188R60J105KA01D	TDK	C1608X5R1A105MT	AVX	06036D105KAT2A			490-1550-1-ND	GRM188R60J105KA01D	6242682	84K8390	9527699
PC1, PC2	2	47uF electrolytic capacitor SMT	United Chemi-Con	EMVA250ADA470MF55G	Cornell Dubilier	AVE476M50X16T-F	Nichicon	UWT1V470MCL1GS			493-2202-1-ND	AVE476M50X16TF	7567973	96W2438	1668297
X1	1	2.1mm DC power jack	CUI	PJ-102A	RS Pro	487-848	Lumberg	NEB 21 R	Cliff Electronic Components 	DC10A	CP-102A-ND	PJ102A	487848	20T2054	1217037
X2	1	USB type B connector right-angle	On Shore Technology	USB-B1HSW6	On Shore Technology	USB-B1HSB6	TE Connectiviy 	4-1734376-7			ED2983-ND	571417343767	5298218	41J2935	1076665
JP2	1	Pin header 0.1” 2x2	FCI	67997-404HLF	Harwin	M20-9990445					609-3242-ND	67997404HLF	8632753	33M7902	1022250
ICSP, ICSP1	2	Pin header 0.1” 2x3	FCI	67996-406HLF	Harwin	M20-9980346					609-3218-ND	67996406HLF	7457046	20M2191	1022231
AD	1	Socket strip 0.1” 1x6	Harwin	M20-7820646	TE Connectivity / AMP	5-534237-4	Samtec	SSQ-106-01-G-S			A32907-ND	55342374	7926681	62M8851	1668297
IOL, POWER	2	Socket strip 0.1” 1x8	3M	960108-6202-AR	Harwin	M20-7820842	Samtec 	BCS-108-L-S-TE			952-1823-ND	M207820842	8277734	62R6734	1667474
IOH	1	Socket strip 0.1” 1x10	Harwin	M20-7821046	TE Connectivity	5-534237-8	Samtec	SSQ-110-01-G-S			A32910-ND	55342378	7973233	52K3746	1668307
Y1	1	16MHz 18pF	CTS Components	ATS16B	Abracon 	ABL-16.000MHZ-B2					CTX1085-ND	ABL16.000MHZB2	7031818	13J1628	2449511
D2, D3	2	Switching diode	Bourns	CD1206-S01575							CD1206-S01575CT-ND	CD1206S01575	7734514	09J8040	2211947
D1	1	Switching diode	Diodes Inc.	S2M-13-F	Fairchild Semiconductor 	S2J					S2JFSCT-ND	512S2J	8032002	58K2394	2454585
L1	1	Ferrite 50mOhm@DC / 220ohm@100MHz	Murata	BLM21PG221SN1D	Iqd Frequency Products 	LFXTAL024944					490-1054-1-ND	BLM21PG221SN1D	7241532	73M9167	1515661
F1	1	Fuse 500mA 15V	Bourns	MF-MSMF050-2							MF-MSMF050-2CT-ND	MFMSMF0502	6478156	02J2718	9350314
U3	1	ATmega16U2 16kB FLASH	Atmel	ATMEGA16U2-MUR	Atmel 	ATMEGA16U2-MU					ATMEGA16U2-MURCT-ND	ATMEGA16U2MU	7153791	68T2601	1841607
ZU4	1	ATmega328P	Atmel	ATMEGA328P-PU							ATMEGA328P-PU-ND	ATMEGA328PPU	6962260	68T2944	1715487
U5	1	Dual op-amp RRO	Texas Instruments	LMV358IDGKR	Microchip 	MCP6002-E/MS	Microchip 	MCP6002T-I/MS			MCP6002-E/MS-ND	MCP6002E/MS	7240444	72C4273	1840886
U2	1	150mA 3.3V LDO	Texas Instruments	LP2985-33DBVR							296-18476-1-ND	LP298533DBVR	5360868	43J9346	2395925
U1	1	1A 5V LDO	ON Semiconductor	NCP1117ST50T3G							NCP1117ST50T3GOSCT-ND	NCP1117ST50T3G	8022130	71J6563	2112617
